Operation,Result
3.0 + 4.0,7.0
10.0 - 4.0,6.0
3.0 + 4.0,7.0
3.0 + 4.0,7.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
1 + 1,2.0
3.0 + 4.0,7.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
3 * 3,9.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
4.0 + 5.0,9.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
10.0 - 4.0,6.0
2.0 * 5.0,10.0
4.0 + 5.0,9.0
5.0 / 3.0,1.6666666666666667
3.0 * 4.0,12.0
5.0 - 3.0,2.0
4.0 + 5.0,9.0
4.0 + 5.0,9.0
7.0 - 3.0,4.0
4.0 * 2.0,8.0
4.0 + 7.0,11.0
4.0 * 2.0,8.0
4.0 + 5.0,9.0
8.0 - 5.0,3.0
6.0 / 9.0,0.6666666666666666
4.0 * 3.0,12.0
5.0 + 7.0,12.0
4.0 - 8.0,-4.0
7.0 * 3.0,21.0
6.0 / 7.0,0.8571428571428571
